Week,Redbubble,National Park,Weekend,Sticker,Shopping,Road Trip
2015-11-15,35,37,40,49,74,40
2015-11-22,46,36,41,50,99,43
2015-11-29,52,34,34,54,84,38
2015-12-06,60,36,37,51,80,39
2015-12-13,56,36,37,53,82,47
2015-12-20,44,43,39,55,86,54
2015-12-27,39,52,40,57,80,59
2016-01-03,29,47,46,56,63,52
2016-01-10,31,44,49,51,56,46
2016-01-17,35,44,58,54,61,50
2016-01-24,30,42,50,56,58,46
2016-01-31,32,43,49,61,59,49
2016-02-07,36,44,72,56,61,53
2016-02-14,36,51,64,55,65,58
2016-02-21,31,50,45,61,64,59
2016-02-28,34,51,48,62,63,62
2016-03-06,30,56,46,58,66,63
2016-03-13,32,55,45,59,67,65
2016-03-20,31,61,47,58,68,64
2016-03-27,32,60,48,69,67,64
2016-04-03,33,59,49,64,65,57
2016-04-10,31,61,50,61,66,58
2016-04-17,32,69,53,59,64,53
2016-04-24,34,67,50,59,65,53
2016-05-01,33,66,47,62,67,54
2016-05-08,29,73,52,57,66,64
2016-05-15,31,74,58,61,69,66
2016-05-22,31,82,91,62,68,79
2016-05-29,31,80,67,66,70,81
2016-06-05,30,73,49,61,67,78
2016-06-12,30,77,48,61,69,78
2016-06-19,32,78,49,59,70,90
2016-06-26,33,84,63,69,72,91
2016-07-03,32,85,55,63,75,80
2016-07-10,36,76,52,67,75,80
2016-07-17,38,78,59,67,77,79
2016-07-24,39,74,70,70,77,77
2016-07-31,40,76,85,65,77,67
2016-08-07,36,69,56,61,72,58
2016-08-14,35,66,50,60,70,57
2016-08-21,38,84,56,62,70,52
2016-08-28,41,71,79,63,70,58
2016-09-04,42,66,64,62,71,49
2016-09-11,43,56,54,62,68,41
2016-09-18,41,57,56,59,67,45
2016-09-25,40,54,56,61,65,45
2016-10-02,34,53,59,57,65,46
2016-10-09,41,51,53,59,66,46
2016-10-16,31,49,49,58,66,43
2016-10-23,39,45,48,58,64,40
2016-10-30,36,45,47,59,64,43
2016-11-06,36,40,41,82,65,37
2016-11-13,42,45,46,58,73,48
2016-11-20,54,44,44,54,98,49
2016-11-27,59,41,43,57,78,51
2016-12-04,56,37,40,55,76,44
2016-12-11,54,38,37,55,78,44
2016-12-18,46,42,31,56,84,52
2016-12-25,42,56,36,57,77,59
2017-01-01,41,54,51,58,65,58
2017-01-08,41,52,62,54,61,51
2017-01-15,41,53,54,58,64,51
2017-01-22,47,62,50,57,61,49
